startTime time open high low close volume
1614038400000 1614124799999 14.4176 15.8888 11.47 15.2244 24306320.76
1614124800000 1614211199999 15.2389 18.2052 14.7917 17.1691 10777544.75
1614211200000 1614297599999 17.1745 17.69 13.6579 13.8442 9520373.92
1614297600000 1614383999999 13.8565 15.5083 13.1 13.5962 8029513.17
1614384000000 1614470399999 13.5864 14.8359 13.01 13.1916 6232463.19
1614470400000 1614556799999 13.1853 13.7739 11.417 13.0887 7231344.75
1614556800000 1614643199999 13.08 15.5469 13.0102 14.9855 5511248.26
1614643200000 1614729599999 14.9989 15.25 13.3544 13.9438 4128426.11
1614729600000 1614815999999 13.9546 14.738 13.7018 14.0742 3277327.93
1614816000000 1614902399999 14.0936 14.2737 12.736 13.0508 2764372.37
1614902400000 1614988799999 13.0649 13.0992 12.1251 12.5382 2069391.25
1614988800000 1615075199999 12.5507 13.31 11.9 13.0421 3061674.23
1615075200000 1615161599999 13.0443 14.014 12.7049 13.8174 2999418.25
1615161600000 1615247999999 13.8174 13.906 12.996 13.6028 2116684.52
1615248000000 1615334399999 13.608 14.9921 13.1985 14.839 2594490.9
1615334400000 1615420799999 14.85 15.2118 14.0525 14.2048 1943926.1
1615420800000 1615507199999 14.2011 16.3222 13.67 16.031 4125742.57
1615507200000 1615593599999 16.0519 16.5 14.0803 14.5597 3678388.38
1615593600000 1615679999999 14.5532 15.4072 13.8439 15.3033 2632320.37
1615680000000 1615766399999 15.2902 15.376 14.3399 14.4605 1750244.94
1615766400000 1615852799999 14.461 14.8214 13.6179 14.1577 2020949.93
1615852800000 1615939199999 14.1586 14.2933 13.1389 13.6392 2501657.49
1615939200000 1616025599999 13.6379 14.2685 13.0326 14.2018 1703006.56
1616025600000 1616111999999 14.1987 14.75 13.957 14.204 1576671.71
1616112000000 1616198399999 14.2153 14.4883 13.8554 14.1552 1461762.29
1616198400000 1616284799999 14.1588 14.9793 14.09 14.1894 1393209.56
1616284800000 1616371199999 14.1788 14.3636 13.638 14.3372 1191850.82
1616371200000 1616457599999 14.3372 16.59 14.1697 14.7964 5102991.54
1616457600000 1616543999999 14.7962 15.227 14.0146 14.1552 2004427.43
1616544000000 1616630399999 14.1433 15.3719 13.5842 13.5973 2317339.72
1616630400000 1616716799999 13.5844 13.7329 12.47 12.9787 2292323.1
1616716800000 1616803199999 12.9789 14.7921 12.3043 14.7664 2972281.77
1616803200000 1616889599999 14.7751 16.8 14.7173 16.4589 4053893.7
1616889600000 1616975999999 16.4516 19.38 16.3049 18.0645 7200727.49
1616976000000 1617062399999 18.0645 19 17.6439 18.9504 3064381.78
1617062400000 1617148799999 18.9504 20.87 18.9105 19.0685 3808354.1
1617148800000 1617235199999 19.0645 19.8154 18 19.3861 2784733.45
1617235200000 1617321599999 19.3818 20.3583 18.7433 19.0443 2230609.34
1617321600000 1617407999999 19.0443 19.8003 18.345 19.7501 1773300.55
1617408000000 1617494399999 19.7513 23.8476 19.7228 22.5 6266319.5
1617494400000 1617580799999 22.4672 25.5309 21.9867 23.7755 5274539.83
1617580800000 1617667199999 23.7755 24.78 22.7664 22.9717 2821214.21
1617667200000 1617753599999 22.9876 25.3 21.7554 25.0548 3326493.23
1617753600000 1617839999999 25.0548 27.5203 22.9078 26.5385 7815658.63
1617840000000 1617926399999 26.537 27.9951 25.6431 26.9384 4209553.61
1617926400000 1618012799999 26.9261 29 26.7097 27.6172 3037133.3
1618012800000 1618099199999 27.6194 28.2948 25.9017 26.8021 2705997.06
1618099200000 1618185599999 26.7993 28.649 25.5131 27.8517 2517685.81
1618185600000 1618271999999 27.8598 29.9295 26.8049 28.5424 2842013.26
1618272000000 1618358399999 28.5266 28.8162 26.2616 27.4507 2275774.43
1618358400000 1618444799999 27.4571 27.5613 24.7 26.4067 3623963.28
1618444800000 1618531199999 26.4182 28.2 25.4479 27.7816 2146653.64
1618531200000 1618617599999 27.7946 28.2571 24.8547 25.2996 2673912.32
1618617600000 1618703999999 25.2926 26.7914 24.8181 24.85 2442737.39
1618704000000 1618790399999 24.8517 32.99 21.1 32.3358 11699397.05
1618790400000 1618876799999 32.3324 36.095 29.8066 31.4711 12075270.9
1618876800000 1618963199999 31.5303 32.8 28.81 31.7028 7036100.92
1618963200000 1619049599999 31.6939 35.1801 30.1101 32.5534 6573327.09
1619049600000 1619135999999 32.5965 41.1587 31.4586 38.9 14017530.86
1619136000000 1619222399999 38.8718 41.74 31.4936 37.3893 14705148.48
1619222400000 1619308799999 37.3018 43.6397 34.5861 40.8401 9722785.06
1619308800000 1619395199999 40.8525 48.644 40.572 47.405 11964753.801
1619395200000 1619481599999 47.395 48.499 43.267 43.878 11079170.602
1619481600000 1619567999999 43.884 46.606 42.5 43.147 7101848.718
1619568000000 1619654399999 43.147 46.962 40.516 44.833 7855066.319
1619654400000 1619740799999 44.831 46.233 40.906 42.484 5805381.221
1619740800000 1619827199999 42.452 44.313 41.21 42.786 3302673.311
1619827200000 1619913599999 42.786 49.88 42.001 49.67 5804048.045
1619913600000 1619999999999 49.646 49.99 45.904 46.897 3794411.245
1620000000000 1620086399999 46.926 49 44.774 45.912 3686007.369
